R
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
2.0
2.0
3.0
5.0
8.0
8.0
8.0
9.0
11.0
15.0
17.0
20.0
29.0
30.0
30.0
31.0
35.0
46.0
59.0
64.0
75.0
81.0
103.0
112.0
134.0
150.0
164.0
192.0
204.0
222.0
252.0
282.0
286.0
359.0
380.0
426.0
446.0
548.0
607.0
631.0
686.0
747.0
842.0
913.0
960.0
1002.0
1042.0
1107.0
1151.0
1254.0
1391.0
1522.0
1591.0
1665.0
1876.0
1954.0
2197.0
2317.0
2381.0
2494.0
2607.0
2698.0
2881.0
3063.0
3287.0
3518.0
3803.0
3911.0
4129.0
4324.0
4467.0
4575.0
4838.0
5057.0
5249.0
5402.0
5642.0
5877.0
6057.0
6240.0
6492.0
7015.0
7308.0
7637.0
7935.0
8406.0
8892.0
9443.0
9907.0
10498.0
10904.0
11414.0
12129.0
12636.0
13213.0
13776.0
14531.0
15123.0
15703.0
16243.0
16798.0
17349.0
17883.0
18404.0
18735.0
19241.0
19658.0
20449.0
21333.0
21909.0
22936.0
23800.0
24806.0
25595.0
26667.0
27568.0
28219.0
29105.0
29919.0
30785.0
31585.0
32651.0
33529.0
34719.0
35638.0
36689.0
37636.0
39050.0
40345.0
41834.0
43268.0
45401.0
46977.0
48466.0
50255.0
52164.0
53945.0
55354.0
56655.0
58173.0
60539.0
62138.0
64292.0
65907.0
67919.0
68975.0
70237.0
72050.0
73889.0
75645.0
77557.0
79306.0
80952.0
82236.0
83710.0
85798.0
87558.0
89618.0
91321.0
93103.0
94458.0
96306.0
98657.0
100674.0
102991.0
105198.0
107500.0
111060.0
112867.0
115409.0
118575.0
120900.0
122802.0
124185.0
125959.0
128057.0
129971.0
132055.0
134181.0
136401.0
138575.0
140652.0
142958.0
145200.0
147510.0
150217.0
152458.0
155010.0
158405.0
161065.0
164101.0
166686.0
170774.0
174350.0
177327.0
180797.0
184298.0
187958.0
191853.0
196196.0
199403.0
203014.0
206870.0
210437.0
214947.0
218487.0
221340.0
225052.0
228453.0
232593.0
236437.0
240291.0
244060.0
247667.0
251481.0
255027.0
258519.0
263296.0
267851.0
273661.0
277544.0
281592.0
285324.0
289243.0
293653.0
297509.0
301006.0
305100.0
309219.0
313764.0
317672.0
322248.0
325793.0
329778.0
334295.0
337801.0
341942.0
345566.0
349497.0
353282.0
357142.0
360705.0
364417.0
368298.0
372266.0
375741.0
378982.0
382084.0
385094.0
388094.0
391991.0
395443.0
398636.0
402347.0
406612.0
410552.0
413955.0
418188.0
422386.0
425313.0
429807.0
433649.0
437456.0
441983.0
445793.0
450518.0
454879.0
458880.0
462553.0
466178.0
470449.0
474771.0
479202.0
