S
274000000.0
273999998.0
273999998.0
273999998.0
273999998.0
273999996.0
273999996.0
273999994.0
273999981.0
273999973.0
273999966.0
273999966.0
273999931.0
273999904.0
273999883.0
273999866.0
273999828.0
273999773.0
273999691.0
273999631.0
273999550.0
273999486.0
273999421.0
273999314.0
273999210.0
273999107.0
273998954.0
273998845.0
273998715.0
273998586.0
273998472.0
273998323.0
273998210.0
273998014.0
273997908.0
273997727.0
273997509.0
273997262.0
273997044.0
273996707.0
273996488.0
273996158.0
273995759.0
273995443.0
273995161.0
273994864.0
273994484.0
273994077.0
273993752.0
273993425.0
273993240.0
273992865.0
273992582.0
273992225.0
273991789.0
273991393.0
273991118.0
273990904.0
273990489.0
273990229.0
273989882.0
273989449.0
273989157.0
273988808.0
273988413.0
273987929.0
273987562.0
273987224.0
273986888.0
273986355.0
273985968.0
273985735.0
273985251.0
273984562.0
273983994.0
273983504.0
273982975.0
273982486.0
273981990.0
273981504.0
273980811.0
273979838.0
273979204.0
273978255.0
273977729.0
273977250.0
273976835.0
273976149.0
273975462.0
273974784.0
273974227.0
273973527.0
273973060.0
273972451.0
273971767.0
273971182.0
273970479.0
273969486.0
273968814.0
273967967.0
273966924.0
273965684.0
273964705.0
273963594.0
273962580.0
273961723.0
273960706.0
273959600.0
273958569.0
273957238.0
273956197.0
273954971.0
273954109.0
273953155.0
273952104.0
273950991.0
273949813.0
273948573.0
273947188.0
273945990.0
273944908.0
273943615.0
273942230.0
273940606.0
273939305.0
273937858.0
273936251.0
273935042.0
273933774.0
273931921.0
273929264.0
273927653.0
273925982.0
273924301.0
273923019.0
273921428.0
273919906.0
273918332.0
273916870.0
273915118.0
273913479.0
273911786.0
273910131.0
273908249.0
273906343.0
273904582.0
273902714.0
273901222.0
273899697.0
273897949.0
273895568.0
273893664.0
273891624.0
273890064.0
273888545.0
273886866.0
273884944.0
273883129.0
273881247.0
273878774.0
273876497.0
273874604.0
273872917.0
273871224.0
273869282.0
273867184.0
273864877.0
273862532.0
273860451.0
273858630.0
273856957.0
273855055.0
273852789.0
273850592.0
273848502.0
273846465.0
273844588.0
273842141.0
273839835.0
273837116.0
273834113.0
273830805.0
273827947.0
273825204.0
273822429.0
273819354.0
273815732.0
273812463.0
273809335.0
273805891.0
273803011.0
273799965.0
273796658.0
273792797.0
273789060.0
273785254.0
273781618.0
273778477.0
273774970.0
273771007.0
273767372.0
273763481.0
273759313.0
273755324.0
273751148.0
273747077.0
273742612.0
273737978.0
273733155.0
273728661.0
273724787.0
273721278.0
273717276.0
273712992.0
273708818.0
273704501.0
273700494.0
273696502.0
